Name,Value,Comment
NULL,0x0000,Null command (default register value)
,,
GET_STATUS,0x8000,Get CSS status (any phase)
APPLY_DEBUG_ENTITLEMENT,0x8001,Enable a debug feature (Debug phase)
AUTHORIZE_RMA,0x8002,Authorize life-cycle transition to RMA state (Debug phase)
LOAD_PATCH_CHUNK,0x8003,Load a patch chunk (Debug/Patch phase)
,,
PROVISION_ASSET,0x8010,Provision an asset to the device and program to OTPM (Configure phase)
SELF_TEST,0x8011,Perform a self-test (Configure phase)
GET_SENSOR_ID,0x8012,Retrieve the unique sensor identifier (Configure phase)
,,
GET_CERTIFICATES,0x8020,Retrieve public certificates for sensor authentication (Configure phase)
SET_SESSION_KEYS,0x8021,Negotiate video authentication and control channel session keys using an ephemeral master secret (Configure phase)
SET_PSK_SESSION_KEYS,0x8022,Negotiate video authentication and control channel session keys using a pre-shared master secret (Configure phase)
SET_EPHEMERAL_MASTER_SECRET,0x8023,Set an ephemeral master secret (Configure phase)
,,
SET_VIDEO_AUTH_ROI,0x8030,Set the video authentication region-of-interest (Session phase)
ENABLE_MONITORING,0x8031,Enable firmware monitoring (Session phase)
,,
EXECUTE_DEBUG,0x8F00,Verification Application general purpose debug command to extend test coverage
