Name,Value,Comment
NONE,0x000,None
HARD_FAULT,0x001,Hard Fault exception occurred
UNHANDLED_EVENT,0x002,An unsupported event was signalled
SYSTEM_MGR_DOORBELL_BAD_PHASE,0x003,Doorbell event happened in unexpected phase
INIT_FAILED,0x004,Failed to initialize
PLATFORM_INIT_FAILED,0x005,Platform-layer failed to initialize
EXCEPTION_INIT_FAILED,0x006,Failed to init exceptions and interrupts
COMPONENT_INIT_FAILED,0x007,Failed to init application components
SYSTEM_MGR_NO_PHASE_REENTRY,0x008,Should never re-enter the same phase
SYSTEM_MGR_SET_EVENT_INVALID,0x009,Event identifier should be valid
SYSTEM_MGR_REGISTER_DUMP_HANDLER_FAILED,0x00A,Attempt to register Diag dump handler failed
SYSTEM_MGR_PHASE_INVALID,0x00B,Invalid phase requested for SystemMgrNotifyEnterPhase
,,
COMMAND_HANDLER_BAD_PHASE,0x010,OnEntryPhase called with bad phase
COMMAND_HANDLER_ENABLE_DOORBELL_INTERRUPT_FAILED,0x011,Not possible to enable mailbox interrupt
COMMAND_HANDLER_ENABLE_ICORE_ECC_DED_INTERRUPT_FAILED,0x012,Not possible to enable ECC DED failure interrupt
COMMAND_HANDLER_CLEAR_ICORE_ECC_DED_INTERRUPT_FAILED,0x013,Not possible to clear pending ECC DED failure interrupt
COMMAND_HANDLER_CLEAR_DOORBELL_INTERRUPT_FAILED,0x014,Not possible to clear pending mailbox interrupt
,,
HEALTH_MONITOR_BAD_PHASE,0x020,OnEntryPhase called with bad phase
HEALTH_MONITOR_GET_STATUS_BAD_COMMAND,0x021,Health Monitor expects GetStatus command code
HEALTH_MONITOR_ENABLE_MONITORING_BAD_COMMAND,0x022,Health Monitor expects EnableMonitoring command code
HEALTH_MONITOR_GET_STACK_USED_SIZE_NULL_PTR,0x023,Health Monitor NULL pointer passed to HealthMonitorGetStackUsedSizeLongWords()
HEALTH_MONITOR_GET_STACK_INFORMATION_ERROR,0x024,Health Monitor call to InitMpuGetStackInformation() returned an error
HEALTH_MONITOR_REGISTER_CLOCK_CHANGE_NOTIFIER_FAILED,0x025,Health Monitor call to SystemMgrRegisterClockSpeedChangeNotifier() returned an error
HEALTH_MONITOR_GOT_UNEXPECTED_CALL_TO_ON_CLOCK_CHANGE,0x026,Health Monitor got unexpected (not allowed) call to HealthMonitorOnClockChange()
HEALTH_MONITOR_STACK_OVERRUN,0x027,Health Monitor detected that the stack is nearly full
HEALTH_MONITOR_VCORE_ERROR,0x028,Health Monitor detected an error in the Vcore
HEALTH_MONITOR_GET_VCORE_STATUS_NULL_PTR,0x029,Health Monitor NULL pointer passed to HealthMonitorGetVCoreStatus()
,,
LIFECYCLE_CRYPTO_CLOCK_GATING_FAULT,0x030,Clock Gating failure
LIFECYCLE_SEC_FILTER_FAULT,0x031,Fault when applying secure filter
LIFECYCLE_PRIV_FILTER_FAULT,0x032,Fault when applying privilege filter
LIFECYCLE_RETRIEVAL_FAULT,0x033,Failed to retrieve lifecycle state
LIFECYCLE_OTPM_FAULT,0x034,OTPM error during hardware initialization
LIFECYCLE_MGR_BAD_PHASE,0x035,OnEntryPhase called with bad phase
LIFECYCLE_MGR_APPLY_DEBUG_ENTITLEMENT_BAD_COMMAND,0x036,LifecycleMgrOnApplyDebugEntitlement received invalid command
LIFECYCLE_MGR_APPLY_DEBUG_ENTITLEMENT_BAD_PARAM,0x037,LifecycleMgrOnApplyDebugEntitlement received invalid parameter
LIFECYCLE_MGR_CC312_INIT_FAILED,0x038,Lifecycle Manager failure when entering phase SYSTEM_MGR_PHASE_DEBUG
LIFECYCLE_MGR_CC312_CONFIG_FAILED,0x039,Lifecycle Manager failure when entering phase SYSTEM_MGR_PHASE_CONFIGURE
LIFECYCLE_MGR_APPLY_DEBUG_ENTITLEMENT_RMA_PRESENTED,0x03A,LifecycleMgrOnApplyDebugEntitlement received a RMA certificate
,,
SHARED_RAM_ECCDED_FAILED,0x040,ECC DED failure in Icore Shared-RAM
,,
